state,num_hom_dlv,num_pbl_dlv,num_inst_dlv,tot_rptd_dlv
A & N Islands,180,4649,4649,4829
Andhra Pradesh,25488,255105,463546,489034
Arunachal Pradesh,1053,13283,15510,16563
Assam,95897,461329,529279,625176
Bihar,462756,1494110,1494246,1957002
Chandigarh,385,26209,26209,26594
Chhattisgarh,129909,291435,373547,503456
Dadra & Nagar Haveli,95,6359,7493,7588
Daman & Diu,59,2010,3689,3748
Delhi,16642,205471,247999,264641
Goa,21,11554,18129,18150
Gujarat,28056,465861,1133169,1161225
Haryana,58958,276614,459284,518242
Himachal Pradesh,16933,64807,78439,95372
Jammu & Kashmir,17882,167471,179197,197079
Jharkhand,136567,384520,500177,636744
Karnataka,8202,598292,884610,892812
Kerala,836,151853,489401,490237
Lakshadweep,0,688,688,688
Madhya Pradesh,157659,1105102,1211816,1369475
Maharashtra,29859,932795,1728670,1758529
Manipur,8175,26405,32521,40696
Meghalaya,41951,34399,44369,86320
Mizoram,2119,16022,19869,21988
Nagaland,5117,14420,17232,22349
Odisha,81042,560788,627484,708526
Puducherry,6,32168,43947,43953
Punjab,41070,201797,371622,412692
Rajasthan,72442,1015727,1350286,1422728
Sikkim,164,6203,7844,8008
Tamil Nadu,719,662102,975492,976211
Telangana,12231,240548,384287,396518
Tripura,6779,41884,44735,51514
Uttar Pradesh,915571,2230032,2502543,3418114
Uttarakhand,34301,98520,124015,158316
West Bengal,244937,889924,1153207,1398144
