State,% Home,% Other,% Private,% Public
All India,17.97,0.26,27.24,54.53
An & N Islands,3.06,1.56,6.64,88.74
Andhra Pradesh,5.35,0.11,50.02,44.51
Arunachal Pradesh,44.33,0.49,9.86,45.32
Assam,25.69,0.15,11.53,62.63
Bihar,31.55,0.24,17.81,50.41
Chandigarh,4.81,0,19.45,75.74
Chhattisgarh,27.6,0.06,14.13,58.22
Dadra & Nagar Haveli,9.22,0,21.33,69.44
Daman & Diu,6.21,0,53.1,40.69
Goa,2.77,0,34.42,62.81
Gujarat,8.27,0.23,57.3,34.19
Haryana,12.92,0.04,31.49,55.55
Himachal Pradesh,20.9,0.52,15.4,63.18
Jammu & Kashmir,11.95,0.5,7.8,79.75
Jharkhand,33.41,0.29,21.58,44.72
Karnataka,3.88,0.22,34.88,61.02
Kerala,0,0,61.88,38.12
Lakshadweep,0,0,41.9,58.1
Madhya Pradesh,16.37,0.1,12.28,71.24
Maharashtra,7.55,0.25,39.04,53.17
Manipur,28.09,0.56,23.84,47.5
Meghalaya,46.43,0.38,14.36,38.83
Mizoram,16.96,0.42,14.44,68.18
Nagaland,64,0.13,7.91,27.96
Delhi,17.86,0.23,30.67,51.23
Odisha,13.09,0.43,9.72,76.76
Puducherry,0,0,17.21,82.79
Punjab,6.06,0,37.87,56.08
Rajasthan,13.2,0.3,21.07,65.43
Sikkim,2.35,0,14.78,82.87
Tamil Nadu,0.57,0.07,29.69,69.67
Telangana,19.4,0,10.92,69.68
Tripura,28.24,0.41,25.53,45.82
Uttar Pradesh,24.02,0.47,23.66,51.85
Uttarakhand,19.88,0.51,19.23,60.38
West Bengal,4.97,0.18,60.54,34.31
