
state	home	other	private	public	Total
all india	17.97	0.26	27.24	54.53	100					
andaman and nicobar i	3.06	1.56	6.64	88.74	100.00 
andhra pradesh	5.35	0.11	50.02	44.51	100.00 
arunachal pradesh	44.33	0.49	9.86	45.32	100.00 
assam	25.69	0.15	11.53	62.63	100.00 
bihar	31.55	0.24	17.81	50.41	100.00 
chandigarh	4.81	0.00	19.45	75.74	100.00 
chhattisgarh	27.60	0.06	14.13	58.22	100.00 
dadra and nagar havel	9.22	0.00	21.33	69.44	100.00 
daman and diu	6.21	0.00	53.10	40.69	100.00 
goa	2.77	0.00	34.42	62.81	100.00 
gujarat	8.27	0.23	57.30	34.19	100.00 
haryana	12.92	0.04	31.49	55.55	100.00 
himachal pradesh	20.90	0.52	15.40	63.18	100.00 
jammu and kashmir	11.95	0.50	7.80	79.75	100.00 
jharkhand	33.41	0.29	21.58	44.72	100.00 
karnataka	3.88	0.22	34.88	61.02	100.00 
kerala	0.00	0.00	61.88	38.12	100.00 
lakshadweep	0.00	0.00	41.90	58.10	100.00 
madhya pradesh	16.37	0.10	12.28	71.24	100.00 
maharashtra	7.55	0.25	39.04	53.17	100.00 
manipur	28.09	0.56	23.84	47.50	100.00 
meghalaya	46.43	0.38	14.36	38.83	100.00 
mizoram	16.96	0.42	14.44	68.18	100.00 
nagaland	64.00	0.13	7.91	27.96	100.00 
delhi	17.86	0.23	30.67	51.23	100.00 
odisha	13.09	0.43	9.72	76.76	100.00 
puducherry	0.00	0.00	17.21	82.79	100.00 
punjab	6.06	0.00	37.87	56.08	100.00 
rajasthan	13.20	0.30	21.07	65.43	100.00 
sikkim	2.35	0.00	14.78	82.87	100.00 
tamil nadu	0.57	0.07	29.69	69.67	100.00 
tripura	19.40	0.00	10.92	69.68	100.00 
uttar pradesh	28.24	0.41	25.53	45.82	100.00 
uttarakhand	24.02	0.47	23.66	51.85	100.00 
west bengal	19.88	0.51	19.23	60.38	100.00 
telangana	4.97	0.18	60.54	34.31	100.00 
