Year,Per-year ave interpolation,Linear interpolation between year-2 ave,Linear-in-logs interpolation between year-2 ave,Linear interpolation between year-3 ave,Linear-in-logs interpolation between year-3 ave
2006,27162.3098,27162.3098,27162.3098,,
2007,27162.3098,26706.6462,26690.54049,27162.3098,27162.3098
2008,27162.3098,26250.9826,26226.96513,26706.6462,26690.54049
2009,27162.3098,25795.319,25771.44138,26250.9826,26226.96513
2010,24883.9918,25339.6554,25323.82941,25795.319,25771.44138
2011,24883.9918,24883.9918,24883.9918,25339.6554,25323.82941
2012,24883.9918,24754.73996,24753.37594,24883.9918,24883.9918
2013,24883.9918,24625.48812,24623.44567,24754.73996,24753.37594
2014,24883.9918,24496.23628,24494.19741,24625.48812,24623.44567
2015,24237.7326,24366.98444,24365.62758,24496.23628,24494.19741
2016,24237.7326,24237.7326,24237.7326,24366.98444,24365.62758
2017,24237.7326,24178.4468,24178.15463,24237.7326,24237.7326
2018,24237.7326,24119.161,24118.7231,24178.4468,24178.15463
2019,24237.7326,24059.8752,24059.43766,24119.161,24118.7231
2020,23941.3036,24000.5894,24000.29794,24059.8752,24059.43766
2021,23941.3036,23941.3036,23941.3036,24000.5894,24000.29794
2022,23941.3036,,,23941.3036,23941.3036
